model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Sonnet 4.5,1,4.479373472668915,0.0722111611722316,4.407162311496684,4.551584633841147
Claude Sonnet 4.5,2,3.203782641621133,0.2027464473730685,3.0010361942480643,3.4065290889942017
Claude Sonnet 4.5,3,2.41620575179184,0.3377579914119677,2.0784477603798726,2.7539637432038075
Claude Sonnet 4.5,4,1.8353507263236724,0.3573573733250024,1.47799335299867,2.1927080996486747
Claude Sonnet 4.5,5,1.2314787504086546,0.4986051857527518,0.7328735646559028,1.7300839361614064
Claude Sonnet 4.5,6,0.5,0.5085476277156078,0.0,1.0085476277156078
Claude Sonnet 4.5,7,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,8,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,9,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,10,0.0,0.0,0.0,0.0
GPT 5,1,4.442366982685002,0.0707370706070975,4.371629912077904,4.513104053292099
GPT 5,2,2.791840237452029,0.2606432465933922,2.5311969908586365,3.052483484045421
GPT 5,3,1.833985000288462,0.2068019297094471,1.6271830705790147,2.040786929997909
GPT 5,4,0.9974937501201926,0.4030366286766408,0.5944571214435518,1.4005303787968333
GPT 5,5,0.0333333333333333,0.1825741858350553,0.0,0.2159075191683886
GPT 5,6,0.0,0.0,0.0,0.0
GPT 5,7,0.0,0.0,0.0,0.0
GPT 5,8,0.0,0.0,0.0,0.0
GPT 5,9,0.0,0.0,0.0,0.0
GPT 5,10,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,1,4.4478866599981055,0.09178825544506,4.3560984045530455,4.5396749154431655
Gemini 2.5 Pro,2,3.020887380432633,0.2131676683416478,2.8077197120909854,3.2340550487742807
Gemini 2.5 Pro,3,1.6422096869048997,0.331744323687475,1.3104653632174248,1.9739540105923745
Gemini 2.5 Pro,4,1.0559900001923082,0.5133864113818185,0.5426035888104896,1.5693764115741267
Gemini 2.5 Pro,5,0.3,0.4660915996993989,0.0,0.7660915996993989
Gemini 2.5 Pro,6,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,7,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,8,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,9,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,10,0.0,0.0,0.0,0.0
Grok 4,1,4.448380928371438,0.0824587890512596,4.365922139320178,4.5308397174226975
Grok 4,2,3.2000297644284745,0.2287753674228827,2.971254397005592,3.428805131851357
Grok 4,3,2.211515083111858,0.186296841194006,2.025218241917852,2.397811924305864
Grok 4,4,1.676140417171475,0.2252070128344291,1.450933404337046,1.9013474300059041
Grok 4,5,0.9194987500240384,0.329459724387921,0.5900390256361174,1.2489584744119593
Grok 4,6,0.0333333333333333,0.1825741858350553,0.0,0.2159075191683886
Grok 4,7,0.0,0.0,0.0,0.0
Grok 4,8,0.0,0.0,0.0,0.0
Grok 4,9,0.0,0.0,0.0,0.0
Grok 4,10,0.0,0.0,0.0,0.0
Oracle (Optimal),1,4.321940520630563,0.0850025917653269,4.2369379288652365,4.40694311239589
Oracle (Optimal),2,2.1992132516476075,0.4047864843758751,1.7944267672717324,2.6039997360234826
Oracle (Optimal),3,1.0,0.0,1.0,1.0
Oracle (Optimal),4,0.0,0.0,0.0,0.0
Oracle (Optimal),5,0.0,0.0,0.0,0.0
Oracle (Optimal),6,0.0,0.0,0.0,0.0
Oracle (Optimal),7,0.0,0.0,0.0,0.0
Oracle (Optimal),8,0.0,0.0,0.0,0.0
Oracle (Optimal),9,0.0,0.0,0.0,0.0
Oracle (Optimal),10,0.0,0.0,0.0,0.0
