model,step,mean_bits,std_bits
Oracle (Optimal),1,4.321940520630563,0.08500259176532697
Oracle (Optimal),2,2.1992132516476075,0.40478648437587517
Oracle (Optimal),3,1.0,0.0
Oracle (Optimal),4,0.0,0.0
Oracle (Optimal),5,0.0,0.0
Oracle (Optimal),6,0.0,0.0
Oracle (Optimal),7,0.0,0.0
Oracle (Optimal),8,0.0,0.0
Oracle (Optimal),9,0.0,0.0
Oracle (Optimal),10,0.0,0.0
GPT 5,1,4.442366982685002,0.0707370706070975
GPT 5,2,2.791840237452029,0.2606432465933922
GPT 5,3,1.833985000288462,0.2068019297094471
GPT 5,4,0.9974937501201926,0.4030366286766408
GPT 5,5,0.03333333333333333,0.1825741858350553
GPT 5,6,0.0,0.0
GPT 5,7,0.0,0.0
GPT 5,8,0.0,0.0
GPT 5,9,0.0,0.0
GPT 5,10,0.0,0.0
Gemini 2.5 Pro,1,4.4478866599981055,0.09178825544506
Gemini 2.5 Pro,2,3.020887380432633,0.2131676683416478
Gemini 2.5 Pro,3,1.6422096869048997,0.331744323687475
Gemini 2.5 Pro,4,1.0559900001923082,0.5133864113818185
Gemini 2.5 Pro,5,0.3,0.46609159969939895
Gemini 2.5 Pro,6,0.0,0.0
Gemini 2.5 Pro,7,0.0,0.0
Gemini 2.5 Pro,8,0.0,0.0
Gemini 2.5 Pro,9,0.0,0.0
Gemini 2.5 Pro,10,0.0,0.0
Grok 4,1,4.448380928371438,0.08245878905125965
Grok 4,2,3.2000297644284745,0.22877536742288276
Grok 4,3,2.2115150831118586,0.18629684119400602
Grok 4,4,1.676140417171475,0.2252070128344291
Grok 4,5,0.9194987500240385,0.32945972438792104
Grok 4,6,0.03333333333333333,0.18257418583505533
Grok 4,7,0.0,0.0
Grok 4,8,0.0,0.0
Grok 4,9,0.0,0.0
Grok 4,10,0.0,0.0
Claude Sonnet 4.5,1,4.479373472668915,0.0722111611722316
Claude Sonnet 4.5,2,3.2037826416211326,0.20274644737306854
Claude Sonnet 4.5,3,2.4162057517918396,0.3377579914119677
Claude Sonnet 4.5,4,1.8353507263236724,0.35735737332500245
Claude Sonnet 4.5,5,1.2314787504086546,0.49860518575275187
Claude Sonnet 4.5,6,0.5,0.5085476277156078
Claude Sonnet 4.5,7,0.0,0.0
Claude Sonnet 4.5,8,0.0,0.0
Claude Sonnet 4.5,9,0.0,0.0
Claude Sonnet 4.5,10,0.0,0.0
